iter	RMSE
0	0.4539091378
1	0.4106806159
2	0.3729411371
3	0.3395832884
4	0.3088697273
5	0.2821701226
6	0.2577952986
7	0.2351467014
8	0.2148821308
9	0.1975570802
10	0.18130509
11	0.1677116997
12	0.1553806695
13	0.1443349054
14	0.134696733
15	0.1261329545
16	0.119532315
17	0.1132353168
18	0.1078040357
19	0.1032540937
20	0.09886290167
21	0.09536373516
22	0.09236189061
23	0.08996661637
24	0.0877898914
25	0.08552778698
26	0.08382299428
27	0.08229120953
28	0.08116017548
29	0.08032324006
30	0.07951255088
31	0.07886569526
32	0.0779115535
33	0.07720981965
34	0.07648325711
35	0.0758863923
36	0.07519264824
37	0.07471100658
38	0.07413841744
39	0.07367642968
40	0.07324986168
41	0.07271413777
42	0.07240935206
43	0.07208209461
44	0.07166695032
45	0.07098029201
46	0.07072014419
47	0.07034764127
48	0.06962569276
49	0.06926889052
50	0.0690396583
51	0.06879321162
52	0.06858809059
53	0.0683547919
54	0.06798265746
55	0.06758008424
56	0.06739852172
57	0.06717728768
58	0.06677115428
59	0.06641575133
60	0.06605654053
61	0.06590600067
62	0.06538813124
63	0.06504486081
64	0.06478016852
65	0.06442796458
66	0.06409193461
67	0.06393183028
68	0.063718399
69	0.06344869637
70	0.06307111135
71	0.06277974421
72	0.06228188774
73	0.06211424588
74	0.06185751619
75	0.06177534964
76	0.06150116618
77	0.0611902941
78	0.06100654714
79	0.06089575826
80	0.06074619959
81	0.06052520324
82	0.06043838414
83	0.06025361597
84	0.06004912565
85	0.05981196422
86	0.05943139275
87	0.05924399318
88	0.05906431543
89	0.0588114509
90	0.05865441295
91	0.05846406016
92	0.05817699242
93	0.05795724571
94	0.0577990831
95	0.05746818462
96	0.0571393076
97	0.05693861228
98	0.05684770162
99	0.05664524296
100	0.0564714522
101	0.05618911193
102	0.0558377293
103	0.05554050828
104	0.05526954803
105	0.05515268068
106	0.05481140566
107	0.05461509736
108	0.05446097325
109	0.05412789883
110	0.05364763358
111	0.0535381488
112	0.05337733484
113	0.05322990849
114	0.05313110556
115	0.05279588227
116	0.05265398079
117	0.05240389256
118	0.05225303805
119	0.0521202384
120	0.05199626042
121	0.05176478015
122	0.05142704308
123	0.05112591385
124	0.05092892728
125	0.05081102658
126	0.05058464507
127	0.05042199721
128	0.05024666973
129	0.05016048071
130	0.0501081098
131	0.04993589072
132	0.0498541632
133	0.04977718595
134	0.04953780609
135	0.04939283408
136	0.04932651686
137	0.04918881345
138	0.0489988997
139	0.04882288174
140	0.04851747115
141	0.04821347628
142	0.04800631613
143	0.0478749631
144	0.04767890954
145	0.04759144403
146	0.04742103046
147	0.04714614783
148	0.04701068696
149	0.04689554466
